######## ELECTION INFO ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,108,2,24,61,2-24-61,,,,,,Round 1: 0.061147233190684516,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,68,2-24-68,,,,,,Round 1: 0.056063705419717784,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,77,2-24-77,,,,,,Round 1: 0.043125646599217224,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,92,2-24-92,,,,,,Round 1: 0.068761907442675256,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,100,2-24-0100,,,,,,Round 1: 0.035479434933470952,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,107,2-24-0107,,,,,,Round 1: 0.028926476615190074,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,112,2-24-0112,,,,,,Round 1: 0.085013385837965306,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,123,2-24-0123,,,,,,Round 1: 0.041374637413056082,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,26,2-25-26,,,,,,Round 1: 0.099927168495545536,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,32,2-25-32,,,,,,Round 1: 0.021524137940960139,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,34,2-25-34,,,,,,Round 1: 0.052900637340909032,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,41,2-25-41,,,,,,Round 1: 0.042786033524075685,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,46,2-25-46,,,,,,"Round 1: 0.020511957554663670, 0.057494338687601940",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,52,2-25-52,,,,,,Round 1: 0.013129176507343228,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,83,2-25-83,,,,,,"Round 1: 0.093178549603695709, 0.098261706544395238",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,84,2-25-84,,,,,,Round 1: 0.093004437884281331,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,89,2-25-89,,,,,,Round 1: 0.013689545157250385,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,92,2-25-92,,,,,,Round 1: 0.027905754834472428,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,95,2-25-95,,,,,,Round 1: 0.093911815941228233,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,102,2-25-0102,,,,,,Round 1: 0.070049025584936417,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,105,2-25-0105,,,,,,Round 1: 0.076632566747112703,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,118,2-25-0118,,,,,,Round 1: 0.091340851137510286,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,122,2-25-0122,,,,,,Round 1: 0.065886654633451204,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,126,2-25-0126,,,,,,Round 1: 0.081260805668427275,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,136,2-25-0136,,,,,,Round 1: 0.094321494718773368,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,139,2-25-0139,,,,,,Round 1: 0.060452321228712277,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,25,144,2-25-0144,,,,,,Round 1: 0.061863698277523341,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,15,2-38-15,,,,,,Round 1: 0.073021403577971835,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,34,2-38-34,,,,,,Round 1: 0.078682213797416119,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,83,2-38-83,,,,,,Round 1: 0.080240899616663862,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,91,2-38-91,,,,,,Round 1: 0.094812256335799653,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,102,2-38-102,,,,,,Round 1: 0.016776694124253140,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,105,2-38-105,,,,,,Round 1: 0.054926531689338570,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,106,2-38-106,,,,,,Round 1: 0.088705388058119763,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,109,2-38-109,,,,,,Round 1: 0.095314330015916990,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,119,2-38-119,,,,,,Round 1: 0.069050394553386614,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,38,122,2-38-122,,,,,,Round 1: 0.096177379590498498,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,3,2-39-3,,,,,,Round 1: 0.030419276205233546,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,14,2-39-14,,,,,,Round 1: 0.081779880418589796,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,42,2-39-42,,,,,,Round 1: 0.025447778311155456,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,54,2-39-54,,,,,,Round 1: 0.045878583756216905,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,56,2-39-56,,,,,,Round 1: 0.076173453611096989,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,59,2-39-59,,,,,,Round 1: 0.047101564742955683,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,64,2-39-64,,,,,,Round 1: 0.080575553251945431,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,66,2-39-66,,,,,,Round 1: 0.095439644094491377,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,81,2-39-81,,,,,,Round 1: 0.049860497515882365,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,95,2-39-95,,,,,,Round 1: 0.092713968895334629,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,39,102,2-39-102,,,,,,Round 1: 0.058281970797580402,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,43,18,2-43-18,,,,,,Round 1: 0.083204917909305727,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,43,23,2-43-23,,,,,,Round 1: 0.077237452307752111,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,43,31,2-43-31,,,,,,Round 1: 0.084269543336177226,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,43,34,2-43-34,,,,,,Round 1: 0.099460452908681997,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,43,41,2-43-41,,,,,,Round 1: 0.067825852390031250,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,8,16,2-8-16,,,,,,Round 1: 0.061952965995776504,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,2,8,29,2-8-29,,,,,,Round 1: 0.060894974620948963,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,4,6,3,4-6-2003,,,,,,Round 1: 0.051017748843439425,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,4,6,7,4-6-2007,,,,,,Round 1: 0.025806033552809987,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,111,4,6,24,4-6-24,,,,,,Round 1: 0.069142748107041274,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,1,3,2,1-3-2002,,,Round 1: 0.019009293441122319,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,1,3,3,1-3-2003,,,Round 1: 0.013780445630169934,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,1,3,21,1-3-21,,,Round 1: 0.012566109439234527,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,15,5,2-15-2005,,,Round 1: 0.022285760247480762,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,15,6,2-15-2006,,,Round 1: 0.029069100260812289,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,15,11,2-15-11,,,Round 1: 0.024203286155625105,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,15,27,2-15-27,,,Round 1: 0.027657062530732615,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,16,74,2-16-74,,,Round 1: 0.000270792983135022,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,17,5,2-17-2005,,,Round 1: 0.029146435051004644,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,17,20,2-17-20,,,Round 1: 0.007372252136156779,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,56,5,2-56-5,,,Round 1: 0.022827226852570127,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,56,9,2-56-9,,,Round 1: 0.040660262195107193,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,BLANK,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,56,15,2-56-15,,,Round 1: 0.026370918276409231,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,112,2,56,83,2-56-83,,,Round 1: 0.031014664072126424,,,,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
